base_word,pos_kr,pos_tag,level,homonym
러시아,명사,Noun,1,False
마리,의존명사,Noun,1,False
마시다,동사,Verb,1,False
마음,명사,Noun,1,False
마흔,관형사,Determiner,1,False
마흔,수사,Noun,1,False
만,관형사,Determiner,1,False
만,수사,Noun,1,False
만나다,동사,Verb,1,False
만들다,동사,Verb,1,False
많다,형용사,Adjective,1,False
많이,부사,Adverb,1,False
말,명사,Noun,1,False
말다,동사,Verb,1,False
말레이시아,명사,Noun,1,False
말씀,명사,Noun,1,False
맑다,형용사,Adjective,1,False
맛,명사,Noun,1,False
맛없다,형용사,Adjective,1,False
맛있다,형용사,Adjective,1,False
맞다,동사,Verb,1,False
매일,부사,Adverb,1,False
매일,명사,Noun,1,False
맵다,형용사,Adjective,1,False
머리,명사,Noun,1,False
먹다,동사,Verb,1,False
먼저,부사,Adverb,1,False
먼저,명사,Noun,1,False
멀다,형용사,Adjective,1,False
멋있다,형용사,Adjective,1,False
메뉴,명사,Noun,1,False
며칠,명사,Noun,1,False
명,의존명사,Noun,1,True
명,명사,Noun,1,True
몇,관형사,Determiner,1,False
몇,수사,Noun,1,False
모두,부사,Adverb,1,False
모두,명사,Noun,1,False
모레,부사,Adverb,1,False
모레,명사,Noun,1,False
모르다,동사,Verb,1,False
모자,명사,Noun,1,False
목,명사,Noun,1,False
목요일,명사,Noun,1,False
목욕탕,명사,Noun,1,False
몸,명사,Noun,1,False
못,부사,Adverb,1,False
못하다,형용사,Adjective,1,False
못하다,동사,Verb,1,False
몽골,명사,Noun,1,False
무겁다,형용사,Adjective,1,False
무슨,관형사,Determiner,1,False
무엇,대명사,Noun,1,False
문,명사,Noun,1,False
문화,명사,Noun,1,False
묻다,동사,Verb,1,False
물,명사,Noun,1,False
물건,명사,Noun,1,False
뭐,대명사,Noun,1,False
미국,명사,Noun,1,False
미안,명사,Noun,1,False
미용실,명사,Noun,1,False
밑,명사,Noun,1,False
바꾸다,동사,Verb,1,False
바나나,명사,Noun,1,False
바다,명사,Noun,1,False
바람,명사,Noun,1,False
바로,부사,Adverb,1,False
바쁘다,형용사,Adjective,1,False
바지,명사,Noun,1,False
박물관,명사,Noun,1,False
밖,명사,Noun,1,False
반,명사,Noun,1,True
반,명사,Noun,1,True
반갑다,형용사,Adjective,1,False
받다,동사,Verb,1,False
발,명사,Noun,1,False
밤,명사,Noun,1,False
밥,명사,Noun,1,False
방,명사,Noun,1,False
방학,명사,Noun,1,False
배,명사,Noun,1,True
배,명사,Noun,1,True
배,명사,Noun,1,True
배우,명사,Noun,1,False
배우다,동사,Verb,1,False
백,관형사,Determiner,1,False
백,수사,Noun,1,False
백만,관형사,Determiner,1,False
백만,수사,Noun,1,False
백화점,명사,Noun,1,False
버스,명사,Noun,1,False
번,의존명사,Noun,1,False
번호,명사,Noun,1,False
베트남,명사,Noun,1,False
별로,부사,Adverb,1,False
병,명사,Noun,1,False
병원,명사,Noun,1,False
보내다,동사,Verb,1,False
보다,부사,Adverb,1,False
보다,동사,Verb,1,False
보통,부사,Adverb,1,False
보통,명사,Noun,1,False
볼펜,명사,Noun,1,False
봄,명사,Noun,1,False
부르다,동사,Verb,1,False
부모님,명사,Noun,1,False
부산,명사,Noun,1,False
부엌,명사,Noun,1,False
부탁,명사,Noun,1,False
분,의존명사,Noun,1,True
분,의존명사,Noun,1,True
불,명사,Noun,1,False
불고기,명사,Noun,1,False
불다,동사,Verb,1,False
비,명사,Noun,1,False
비빔밥,명사,Noun,1,False
비싸다,형용사,Adjective,1,False
비행기,명사,Noun,1,False
빌리다,동사,Verb,1,False
빠르다,형용사,Adjective,1,False
빨리,부사,Adverb,1,False
빵,명사,Noun,1,False
사과,명사,Noun,1,False
사귀다,동사,Verb,1,False
사다,동사,Verb,1,False
사람,명사,Noun,1,False
사랑,명사,Noun,1,False
사무실,명사,Noun,1,False
사십,관형사,Determiner,1,False
사십,수사,Noun,1,False
사용,명사,Noun,1,False
사월,명사,Noun,1,False
사이,명사,Noun,1,False
사이다,명사,Noun,1,False
사전,명사,Noun,1,False
사진,명사,Noun,1,False
산,명사,Noun,1,False
산책,명사,Noun,1,False
살,의존명사,Noun,1,False
살다,동사,Verb,1,False
삼,관형사,Determiner,1,False
삼,수사,Noun,1,False
삼계탕,명사,Noun,1,False
삼십,관형사,Determiner,1,False
삼십,수사,Noun,1,False
삼월,명사,Noun,1,False
생각,명사,Noun,1,False
생신,명사,Noun,1,False
생일,명사,Noun,1,False
생활,명사,Noun,1,False
샤워,명사,Noun,1,False
서른,관형사,Determiner,1,False
서른,수사,Noun,1,False
서울,명사,Noun,1,False
서점,명사,Noun,1,False
선물,명사,Noun,1,False
선생님,명사,Noun,1,False
설명,명사,Noun,1,False
세,관형사,Determiner,1,False
세수,명사,Noun,1,False
셋,수사,Noun,1,False
소개,명사,Noun,1,False
소금,명사,Noun,1,False
손,명사,Noun,1,False
손님,명사,Noun,1,False
